"","text","id_str","lang","created_at","listed_count","location","user_id_str","description","followers_count","friends_count","screen_name","full_name","place_name","place_lat","place_lon","lat","lon"
"1","RT @: No, Hillary Clinton didn't insult Sanders' supporters as #BasementDwellers https://t.co/lImpLhc6xj https://t.co/XJRuLOkgDw","7.82359e+17","en","Sat Oct 01 23:19:02 +0000 2016",22,"Arizona","253838787","Staff Writer, http://AzPreps365.com. Have covered high school sports in Arizona in East Valley for 33 years. Worked with many great people during that time.",1850,40,"AZPreps365Les","Phoenix, AZ","Phoenix",33.5528625,-112.1246765,33.4055051,-112.0521777
"2","RT @: Here's a handy way of telling if you're on the wrong side. https://t.co/WjyjPKT99M","7.82359e+17","en","Sat Oct 01 23:19:02 +0000 2016",5,"Ellisville, MO","149762612",NA,47,93,"BlueBrained","Pawcatuck, CT","Pawcatuck",41.372244,-71.860604,41.3788,-71.8301
"3","RT @: Media acting like Hillary had nothing to do with Bill's sex scandals. She was INVOLVED https://t.co/51bxQqdjre","7.82359e+17","en","Sat Oct 01 23:19:03 +0000 2016",1,NA,"2392035552","i used to be Mr. no chill but im werkin on that shyt",126,936,"justbusiness23","Long Beach, CA","Long Beach",33.8091715,-118.1567105,33.79312,-118.12527
"4","woke up and the Sooners are winning. it's a good day in oklahoma.","7.82359e+17","en","Sat Oct 01 23:19:03 +0000 2016",85,NA,"4759732808","We ARE Passionate People Making a Difference.",27,0,"CanyonRanchJobs","Tucson, AZ","Tucson",32.1893905,-110.9155735,32.2217429,-110.926479
"5","RT @: .@, the choice of evangelicals, forced his wife 2 pose nude for Playboy even though she didnt want 2. ht","7.82359e+17","en","Sat Oct 01 23:19:03 +0000 2016",44,"Earth","2714673572","I'm a virtual rover travelling to San Diego! Powered by Google Street View. Please help control me! http://muffinlabs.com/rover/ made by @muffinista #botALLY",748,827,"EarthRoverBot","Colorado, USA","Colorado",38.997936,-105.5508905,38.33773261,-108.7038285
"6","RT @: We're going to make college debt-free for everyone in America. See how much you could save with Hillary's plan at ","7.82359e+17","en","Sat Oct 01 23:19:04 +0000 2016",3,"Indianapolis, Indiana","15974102","I'm 29 and just trying to be myself, whoever that turns out to be. I drink a lot of beer.",101,147,"lianbe","Speedway, IN","Speedway",39.7882845,-86.2503435,39.802,-86.2687
"7","RT @: Donald Trump, who cheated on his wife, says infidelity was ""not a problem"" in his marriage.  https://t.co/Brni4GHTVC","7.82359e+17","en","Sat Oct 01 23:19:04 +0000 2016",22,"East Harlem, New York","1470858842","New York County Democratic Committeeman, 68th Assembly District
*East Harlem Community Issues contact 212-401-6941*  
/G\",5682,1856,"RODRIQUEZKELMY","Manhattan, NY","Manhattan",40.780709,-73.9685415,40.80991152,-73.95189285
"8","What? If hubby isn't voting for Hillary too, I don't want to have sex with him.

https://t.co/XH3AsfIKiK","7.82359e+17","en","Sat Oct 01 23:19:05 +0000 2016",12,"Dallas/Ft. Worth, Texas","16090652",NA,172,524,"YldeSyde","Dallas, TX","Dallas",32.8198585,-96.7617535,32.86912889,-96.77251589
"9","RT @: Hillary Clinton believes LGBT rights are human rights.
Donald Trump wants to repeal marriage equality &amp; supports anti-LGBT bil","7.82359e+17","en","Sat Oct 01 23:19:05 +0000 2016",10,"Michigan, USA","358442162","Independent Beauty Consultant Sagittarius<U+2650><U+FE0F> • Married 09/24/16 • Music is my life • Snapchat: LizVengeance",72,38,"LizVengeance","Orlando, FL","Orlando",28.5016785,-81.3677725,28.47344068,-81.46486637
"10","I'm out for dead presidents to represent me","7.82359e+17","en","Sat Oct 01 23:19:05 +0000 2016",19,"Leslie, MI","992211900","http://facebook.com/howehealthy",93,202,"Shauna_MH4","Michigan, USA","Michigan",45.00118,-86.2705395,42.44890689,-84.43895556
